customer_id,event_date,event_code,churn_date,initial_grade,churn_in_90_days
1,2024-04-13,DUL,,F,0
1,2024-04-14,SCB,,F,0
1,2024-04-15,CS,,F,0
1,2024-04-16,CW,,F,0
1,2024-04-17,CS,,F,0
1,2024-04-18,SCT,,F,0
1,2024-04-20,DUL,,F,0
1,2024-04-23,DUH,,F,0
1,2024-04-24,CS,,F,0
1,2024-04-25,DUL,,F,0
1,2024-04-26,SCT,,F,0
1,2024-04-28,EE,,F,0
1,2024-04-29,DUH,,F,0
1,2024-04-30,DUL,,F,0
1,2024-05-03,CM,,F,0
1,2024-05-04,CS,,F,0
1,2024-05-05,CM,,F,0
1,2024-05-06,DUL,,F,0
1,2024-05-07,DUL,,F,0
1,2024-05-08,DUH,,F,0
1,2024-05-10,DUL,,F,0
1,2024-05-13,SCT,,F,0
1,2024-05-15,EE,,F,0
1,2024-05-17,DUL,,F,0
1,2024-05-19,SCB,,F,0
1,2024-05-28,DUL,,F,0
1,2024-06-03,DUH,,F,0
1,2024-06-04,DUH,,F,0
1,2024-06-05,CM,,F,0
1,2024-06-06,CM,,F,0
1,2024-06-07,CM,,F,0
1,2024-06-08,DUH,,F,0
1,2024-06-09,CM,,F,0
1,2024-06-10,EE,,F,0
1,2024-06-11,SCT,,F,0
1,2024-06-13,SCT,,F,0
1,2024-06-14,CM,,F,0
1,2024-06-16,DUH,,F,0
1,2024-06-17,EE,,F,0
1,2024-06-18,DUH,,F,0
1,2024-06-21,DUH,,F,0
1,2024-06-22,SCT,,F,0
1,2024-06-23,DUH,,F,0
1,2024-06-24,DUL,,F,0
1,2024-06-27,CW,,F,0
1,2024-06-29,SCT,,F,0
1,2024-06-30,DUL,,F,0
1,2024-07-02,DUH,,F,0
1,2024-07-05,EE,,F,0
1,2024-07-08,CS,,F,0
1,2024-07-09,CS,,F,0
1,2024-07-15,DUH,,F,0
1,2024-07-16,EE,,F,0
1,2024-07-17,SCB,,F,0
1,2024-07-18,CM,,F,0
1,2024-07-21,EE,,F,0
1,2024-07-22,DUH,,F,0
1,2024-07-24,DUH,,F,0
1,2024-07-26,DUH,,F,0
1,2024-07-27,DUH,,F,0
1,2024-07-28,CM,,F,0
1,2024-08-03,SCT,,F,0
1,2024-08-04,DUL,,F,0
1,2024-08-05,SCT,,F,0
1,2024-08-08,DUH,,F,0
1,2024-08-09,EE,,F,0
1,2024-08-11,CM,,F,0
1,2024-08-12,DUL,,F,0
1,2024-08-13,DUH,,F,0
1,2024-08-16,CS,,F,0
1,2024-08-19,DUH,,F,0
1,2024-08-20,DUH,,F,0
1,2024-08-21,CM,,F,0
1,2024-08-22,DUH,,F,0
1,2024-08-23,DUH,,F,0
1,2024-08-24,SCT,,F,0
1,2024-08-25,DUH,,F,0
1,2024-08-26,CM,,F,0
1,2024-08-27,DUL,,F,0
