customer_id,event_date,churn_probability,risk_grade,driving_ngram,actual_churn_in_90_days
1,2024-04-13,0.0251575157515751,A,DUL,0
1,2024-04-14,0.040566037735849,A,DUL SCB,0
1,2024-04-15,0.0293367346938775,A,SCB CS,0
1,2024-04-16,0.0576923076923076,B,SCB CS CW,0
1,2024-04-17,0.0287146226415094,A,CS,0
1,2024-04-18,0.03,A,CW CS SCT,0
1,2024-04-20,0.03125,A,CS SCT DUL,0
1,2024-04-23,0.0331858407079646,A,SCT DUL DUH,0
1,2024-04-24,0.0287146226415094,A,CS,0
1,2024-04-25,0.03125,A,CS DUL,0
1,2024-04-26,0.043103448275862,A,CS DUL SCT,0
1,2024-04-28,0.05,B,DUL SCT EE,0
1,2024-04-29,0.0805084745762711,B,SCT EE DUH,0
1,2024-04-30,0.0452380952380952,A,EE DUH DUL,0
1,2024-05-03,0.028443113772455,A,DUH DUL CM,0
1,2024-05-04,0.0424107142857142,A,DUL CM CS,0
1,2024-05-05,0.0286885245901639,A,CM CS CM,0
1,2024-05-06,0.0252126366950182,A,CM DUL,0
1,2024-05-07,0.0251575157515751,A,DUL,0
1,2024-05-08,0.0250922833538407,A,DUH,0
1,2024-05-10,0.033695652173913,A,DUL DUH DUL,0
1,2024-05-13,0.065126050420168,B,DUH DUL SCT,0
1,2024-05-15,0.05,B,DUL SCT EE,0
1,2024-05-17,0.0301358234295415,A,EE DUL,0
1,2024-05-19,0.0648148148148148,B,EE DUL SCB,0
1,2024-05-28,0.0611111111111111,B,DUL SCB DUL,0
1,2024-06-03,0.0250922833538407,A,DUH,0
1,2024-06-04,0.0286745964316057,A,DUH DUH,0
1,2024-06-05,0.0305851063829787,A,DUH DUH CM,0
1,2024-06-06,0.0243526510480887,A,CM,0
1,2024-06-07,0.0243526510480887,A,CM,0
1,2024-06-08,0.0253977968176254,A,CM DUH,0
1,2024-06-09,0.0290697674418604,A,CM DUH CM,0
1,2024-06-10,0.033876050420168,A,EE,0
1,2024-06-11,0.0961538461538461,B,CM EE SCT,0
1,2024-06-13,0.0564516129032258,B,EE SCT SCT,0
1,2024-06-14,0.035,A,SCT SCT CM,0
1,2024-06-16,0.056547619047619,B,SCT CM DUH,0
1,2024-06-17,0.0451807228915662,A,CM DUH EE,0
1,2024-06-18,0.0513392857142857,B,DUH EE DUH,0
1,2024-06-21,0.0295275590551181,A,EE DUH DUH,0
1,2024-06-22,0.0364077669902912,A,DUH DUH SCT,0
1,2024-06-23,0.0250922833538407,A,DUH,0
1,2024-06-24,0.0256238859180035,A,DUH DUL,0
1,2024-06-27,0.0249820273184759,A,CW,0
1,2024-06-29,0.06875,B,DUL CW SCT,0
1,2024-06-30,0.0251575157515751,A,DUL,0
1,2024-07-02,0.0331858407079646,A,SCT DUL DUH,0
1,2024-07-05,0.033876050420168,A,EE,0
1,2024-07-08,0.0443262411347517,A,EE CS,0
1,2024-07-09,0.0287146226415094,A,CS,0
1,2024-07-15,0.0262430939226519,A,CS DUH,0
1,2024-07-16,0.0642857142857142,B,CS DUH EE,0
1,2024-07-17,0.0833333333333333,B,DUH EE SCB,0
1,2024-07-18,0.07,B,EE SCB CM,0
1,2024-07-21,0.033876050420168,A,EE,0
1,2024-07-22,0.0319819819819819,A,EE DUH,0
1,2024-07-24,0.0295275590551181,A,EE DUH DUH,0
1,2024-07-26,0.0313765182186234,A,DUH DUH DUH,0
1,2024-07-27,0.0313765182186234,A,DUH DUH DUH,0
1,2024-07-28,0.0305851063829787,A,DUH DUH CM,0
1,2024-08-03,0.0506756756756756,B,DUH CM SCT,0
1,2024-08-04,0.0302197802197802,A,CM SCT DUL,0
1,2024-08-05,0.0416666666666666,A,SCT DUL SCT,0
1,2024-08-08,0.0625,B,DUL SCT DUH,0
1,2024-08-09,0.033876050420168,A,EE,0
1,2024-08-11,0.0267653758542141,A,EE CM,0
1,2024-08-12,0.0339506172839506,A,EE CM DUL,0
1,2024-08-13,0.0282738095238095,A,CM DUL DUH,0
1,2024-08-16,0.0287146226415094,A,CS,0
1,2024-08-19,0.0475543478260869,A,DUH CS DUH,0
1,2024-08-20,0.05,B,CS DUH DUH,0
1,2024-08-21,0.0305851063829787,A,DUH DUH CM,0
1,2024-08-22,0.0255376344086021,A,DUH CM DUH,0
1,2024-08-23,0.0286745964316057,A,DUH DUH,0
1,2024-08-24,0.0364077669902912,A,DUH DUH SCT,0
1,2024-08-25,0.0250922833538407,A,DUH,0
1,2024-08-26,0.03125,A,SCT DUH CM,0
1,2024-08-27,0.0435393258426966,A,DUH CM DUL,0
1,2024-08-28,0.033876050420168,A,EE,0
1,2024-08-29,0.0267653758542141,A,EE CM,0
1,2024-08-31,0.033876050420168,A,EE,0
1,2024-09-01,0.0421348314606741,A,CM EE DUL,0
1,2024-09-02,0.0331221198156682,A,DUL CS,0
1,2024-09-03,0.0426829268292682,A,DUL CS CW,0
1,2024-09-04,0.0287146226415094,A,CS,0
1,2024-09-05,0.0287146226415094,A,CS,0
1,2024-09-06,0.03125,A,CS DUL,0
1,2024-09-07,0.0255102040816326,A,CS DUL DUL,0
1,2024-09-08,0.0257847533632287,A,DUL DUL DUL,0
1,2024-09-10,0.0435393258426966,A,DUL DUL CS,0
1,2024-09-12,0.0383333333333333,A,DUL CS CS,0
